year,state_po,district,COUNTA of Key,Race key,Democrat name,Republican name,Experience (D),Experience (R),Campaign finance (D),Campaign finance (R),candidates votes (D),Candidates votes (R)
2020,TX,31,2,TX_31_2020,DONNA IMAM,JOHN R CARTER,2,20,1242218.22,2223167.18,176293,212695
2020,TX,32,2,TX_32_2020,COLIN Z ALLRED,GENEVIEVE COLLINS,4,2,5721622.7,6006854.31,178542,157867
2020,TX,33,2,TX_33_2020,MARC A VEASEY,FABIAN CORDOVA VASQUEZ,10,0,1631328.46,25584.96,105317,39638
2020,TX,34,2,TX_34_2020,FILEMON VELA,REY GONZALEZ,10,4,1034382.25,37445.83,111439,84119
2020,TX,35,2,TX_35_2020,LLOYD DOGGETT,JENNY GARCIA SHARON,28,2,425736.96,14442.45,176373,80795
2020,TX,36,2,TX_36_2020,RASHAD LEWIS,BRIAN BABIN,0,26,12277.65,1310866.02,73418,222712
2020,UT,1,2,UT_1_2020,DARREN PARRY,BLAKE DAVID MOORE,0,2,44486.63,835315.33,104194,237988
2020,UT,2,2,UT_2_2020,KAEL WESTON,CHRIS STEWART,0,10,307704.78,929210.17,129762,208997
2020,UT,3,2,UT_3_2020,DEVIN D THORPE,JOHN R CURTIS,0,4,191088.2,718455.03,96067,246674
2020,UT,4,2,UT_4_2020,BEN MCADAMS,BURGESS OWENS,2,2,5580074.1,5068995.95,175923,179688
2020,VA,1,2,VA_1_2020,QASIM RASHID,ROBERT J WITTMAN,0,14,1592852.54,2190582.01,186923,260614
2020,VA,2,2,VA_2_2020,ELAINE G LURIA,SCOTT W TAYLOR,4,10,6556703.99,2511988.95,185733,165031
2020,VA,3,2,VA_3_2020,"ROBERT C ""BOBBY"" SCOTT",JOHN W COLLICK JR,36,2,837219.09,173057.41,233326,107299
2020,VA,4,2,VA_4_2020,A DONALD MCEACHIN,LEON BENJAMIN SR,6,2,988770.9,524688.86,241142,149625
2020,VA,5,2,VA_5_2020,B CAMERON WEBB,"ROBERT G ""BOB"" GOOD",0,2,5782803.89,1328692.64,190315,210988
2020,VA,6,2,VA_6_2020,NICHOLAS A BETTS,BEN CLINE,0,4,57705.36,680286.14,134729,246606
2020,VA,7,2,VA_7_2020,ABIGAIL DAVIS SPANBERGER,NICK J FREITAS,4,0,7959480.65,3640943.04,230893,222623
2020,VA,8,2,VA_8_2020,DONALD S BEYER JR,JEFF A JORDAN,8,0,2077822.52,103259.95,301454,95365
2020,VA,10,2,VA_10_2020,JENNIFER WEXTON,ALISCIA N ANDREWS,4,0,1901911.61,1419877.44,268734,206253
2020,VA,11,2,VA_11_2020,GERALD E CONNOLLY,MANGA A ANANTATMULA,14,2,1832941.47,268325.5,280725,111380
2020,VT,0,2,VT_0_2020,PETER WELCH,MIRIAM BERRY,16,0,869590.98,0,238827,95830
2020,WA,1,2,WA_1_2020,SUZAN K DELBENE,JEFFREY BEELER SR,12,2,1903677.43,62279.24,249944,176407
2020,WA,2,2,WA_2_2020,RICK LARSEN,TIMOTHY S HAZELO,22,0,1227913.57,49322.02,255252,148384
2020,WA,3,2,WA_3_2020,CAROLYN LONG,JAIME HERRERA BEUTLER,2,0,4199935.7,4586793.79,181347,235579
2020,WA,4,2,WA_4_2020,DOUGLAS E MCKINLEY,DAN NEWHOUSE,4,8,58325.87,1002461.07,102667,202108
2020,WA,5,2,WA_5_2020,DAVE WILSON,CATHY MCMORRIS RODGERS,0,18,112782.51,3503094.11,155737,247815
2020,WA,6,2,WA_6_2020,DEREK KILMER,ELIZABETH KREISELMAIER,10,2,2564803.41,145108.01,247429,168783
2020,WA,7,2,WA_7_2020,PRAMILA JAYAPAL,CRAIG KELLER,6,6,1555769.06,5443,387109,78240
2020,WA,8,2,WA_8_2020,KIM SCHRIER,JESSE JENSEN,4,2,3804548.53,847466.89,213123,198423
2020,WA,9,2,WA_9_2020,ADAM SMITH,DOUG BASLER,26,8,933144.97,18521.68,258771,89697
2020,WA,10,2,WA_10_2020,BETH DOGLIO,Null,0,Null,1483736.39,Null,121040,Null
2020,WI,1,2,WI_1_2020,ROGER POLACK,BRYAN STEIL,0,4,537550.56,3172844.5,163170,238271
2020,WI,2,2,WI_2_2020,MARK POCAN,PETER THERON,10,14,1017815.48,46122.41,318523,138306
2020,WI,3,2,WI_3_2020,RON KIND,DERRICK VAN ORDEN,26,2,4450117.34,1988034.2,199870,189524
2020,WI,4,2,WI_4_2020,GWEN MOORE,TIM ROGERS,18,4,1181900.52,0,232668,70769
2020,WI,5,2,WI_5_2020,TOM PALZEWICZ,SCOTT FITZGERALD,2,2,371899.41,969889.59,175902,265434
2020,WI,6,2,WI_6_2020,JESSICA J KING,GLENN GROTHMAN,0,8,252835.16,1750819.12,164239,238874
2020,WI,7,2,WI_7_2020,TRICIA ZUNKER,THOMAS P TIFFANY,0,2,1247242.62,2529735.4,162741,252048
2020,WI,8,2,WI_8_2020,AMANDA STUCK,MIKE GALLAGHER,0,6,407495.73,2935203.55,149558,268173
2020,WV,1,2,WV_1_2020,NATALIE CLINE,DAVID B MCKINLEY,0,12,82052.28,1088038.52,81177,180488
2020,WV,2,2,WV_2_2020,CATHY KUNKEL,ALEXANDER X MOONEY,0,8,649360.28,859927.11,100799,172195
2020,WV,3,2,WV_3_2020,HILARY TURNER,CAROL D MILLER,0,4,98768.58,763796.42,64927,161585
2020,WY,0,2,WY_0_2020,LYNNETTE GREY BULL,LIZ CHENEY,2,6,132285.65,3066534.91,66576,185732
